pack_player_id,player_name,position,nfl_team,fbg_id,cbs_id,fantasypros_id,pff_id,gsis_id,model_id,source_as_of,exported_at,scoring_fingerprint,authority,fbg_points,cbs_points,fantasypros_points,pff_points,raw_consensus_points,mean_reversion_delta,within_position_delta,season_context_delta,durability_delta,availability_delta,modified_projection_points,uncertainty_low,uncertainty_high,fallback_reason,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18
fbg:GibbJa00,Jahmyr Gibbs,RB,DET,GibbJa00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,342,386.4,372.7,345.5,361.5,0,0,0,0,0,361.5,342,386.4,,,,,,,,,,,,,,,,,,,
fbg:RobiBi01,Bijan Robinson,RB,ATL,RobiBi01,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,334.8,371.4,369.9,339.1,353.7,0,0,0,0,0,353.7,334.8,371.4,,,,,,,,,,,,,,,,,,,
fbg:ChasJa00,Ja'Marr Chase,WR,CIN,ChasJa00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,334,342.6,335.7,324.1,334.1,0,0,0,0,0,334.1,324.1,342.6,,,,,,,,,,,,,,,,,,,
fbg:McCaCh00,Christian McCaffrey,RB,SF,McCaCh00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,325.4,296.9,334.8,326.6,321,0,0,0,0,0,321,296.9,334.8,,,,,,,,,,,,,,,,,,,
fbg:TaylJo02,Jonathan Taylor,RB,IND,TaylJo02,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,278.7,317.1,310.5,322.2,307,0,0,0,0,0,307,278.7,322.2,,,,,,,,,,,,,,,,,,,
fbg:JeanAs00,Ashton Jeanty,RB,LV,JeanAs00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,282.3,269.2,276.3,278.7,276.7,0,0,0,0,0,276.7,269.2,282.3,,,,,,,,,,,,,,,,,,,
fbg:NacuPu00,Puka Nacua,WR,LAR,NacuPu00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,311.4,374.6,355.5,324.4,341.3,0,0,0,0,0,341.3,311.4,374.6,,,,,,,,,,,,,,,,,,,
fbg:BoweBr00,Brock Bowers,TE,LV,BoweBr00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,270.9,245.7,243.9,233.9,248.7,0,0,0,0,0,248.7,233.9,270.9,,,,,,,,,,,,,,,,,,,
fbg:AchaDe00,De'Von Achane,RB,MIA,AchaDe00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,261.8,302.1,292.4,292.3,287,0,0,0,0,0,287,261.8,302.1,,,,,,,,,,,,,,,,,,,
fbg:SmitJa02,Jaxon Smith-Njigba,WR,SEA,SmitJa02,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,285.3,344.1,324.5,317.6,317.7,0,0,0,0,0,317.7,285.3,344.1,,,,,,,,,,,,,,,,,,,
fbg:StBrAm00,Amon-Ra St. Brown,WR,DET,StBrAm00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,286.4,304.7,319.8,289.8,300.1,0,0,0,0,0,300.1,286.4,319.8,,,,,,,,,,,,,,,,,,,
fbg:BrowAJ00,A.J. Brown,WR,NE,BrowAJ00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,272.1,254.4,255.5,252.3,258.6,0,0,0,0,0,258.6,252.3,272.1,,,,,,,,,,,,,,,,,,,
fbg:CookJa05,James Cook III,RB,BUF,CookJa05,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,260.1,263.6,270.5,288.8,270.7,0,0,0,0,0,270.7,260.1,288.8,,,,,,,,,,,,,,,,,,,
fbg:LambCe00,CeeDee Lamb,WR,DAL,LambCe00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,259.1,258.8,272.7,284.6,268.8,0,0,0,0,0,268.8,258.8,284.6,,,,,,,,,,,,,,,,,,,
fbg:BrowCh06,Chase Brown,RB,CIN,BrowCh06,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,257.3,297.9,278.8,275.2,277.2,0,0,0,0,0,277.2,257.3,297.9,,,,,,,,,,,,,,,,,,,
fbg:HampOm00,Omarion Hampton,RB,LAC,HampOm00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,231.8,221.4,254.4,249.4,239.3,0,0,0,0,0,239.3,221.4,254.4,,,,,,,,,,,,,,,,,,,
fbg:LondDr00,Drake London,WR,ATL,LondDr00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,256.7,302.7,287.1,284.7,282.7,0,0,0,0,0,282.7,256.7,302.7,,,,,,,,,,,,,,,,,,,
fbg:AlleJo01,Josh Allen,QB,BUF,AlleJo01,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,407.8,390.3,415.9,355.4,392.4,0,0,0,0,0,392.4,355.4,415.9,,,,,,,,,,,,,,,,,,,
fbg:McBrTr01,Trey McBride,TE,ARI,McBrTr01,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,233.1,267.6,254.4,246.8,250.4,0,0,0,0,0,250.4,233.1,267.6,,,,,,,,,,,,,,,,,,,
fbg:JeffJu00,Justin Jefferson,WR,MIN,JeffJu00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,251.6,239.7,272.2,290.5,263.5,0,0,0,0,0,263.5,239.7,290.5,,,,,,,,,,,,,,,,,,,
fbg:BarkSa00,Saquon Barkley,RB,PHI,BarkSa00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,249.4,244.7,264.4,248.3,251.7,0,0,0,0,0,251.7,244.7,264.4,,,,,,,,,,,,,,,,,,,
fbg:CollNi00,Nico Collins,WR,HOU,CollNi00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,255.4,274.8,252.8,250.2,258.2,0,0,0,0,0,258.2,250.2,274.8,,,,,,,,,,,,,,,,,,,
fbg:WalkKe01,Ken Walker III,RB,KC,WalkKe01,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,248.3,226.5,,,237.5,0,0,0,0,0,237.5,226.5,248.3,,,,,,,,,,,,,,,,,,,
fbg:HallBr01,Breece Hall,RB,NYJ,HallBr01,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,235.7,206,245.8,240.4,232.1,0,0,0,0,0,232.1,206,245.8,,,,,,,,,,,,,,,,,,,
fbg:PickGe00,George Pickens,WR,DAL,PickGe00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,236.3,275.7,252.1,239.5,250.8,0,0,0,0,0,250.8,236.3,275.7,,,,,,,,,,,,,,,,,,,
