pack_player_id,player_name,position,nfl_team,fbg_id,cbs_id,fantasypros_id,gsis_id,model_id,source_as_of,exported_at,scoring_fingerprint,authority,fbg_points,cbs_points,fantasypros_points,raw_consensus_points,mean_reversion_delta,within_position_delta,season_context_delta,durability_delta,availability_delta,modified_projection_points,uncertainty_low,uncertainty_high,fallback_reason,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18
fbg:GibbJa00,Jahmyr Gibbs,RB,DET,GibbJa00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,339.3,386.5,372.2,365.8,0,0,0,0,0,365.8,339.3,386.5,,,,,,,,,,,,,,,,,,,
fbg:RobiBi01,Bijan Robinson,RB,ATL,RobiBi01,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,334.7,398.8,370.3,367.7,0,0,0,0,0,367.7,334.7,398.8,,,,,,,,,,,,,,,,,,,
fbg:ChasJa00,Ja'Marr Chase,WR,CIN,ChasJa00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,334.7,344,335.5,338,0,0,0,0,0,338,334.7,344,,,,,,,,,,,,,,,,,,,
fbg:McCaCh00,Christian McCaffrey,RB,SF,McCaCh00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,327.4,318.3,334.7,326.8,0,0,0,0,0,326.8,318.3,334.7,,,,,,,,,,,,,,,,,,,
fbg:TaylJo02,Jonathan Taylor,RB,IND,TaylJo02,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,279.3,338.1,312.9,309.9,0,0,0,0,0,309.9,279.3,338.1,,,,,,,,,,,,,,,,,,,
fbg:JeanAs00,Ashton Jeanty,RB,LV,JeanAs00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,283.4,286.7,276.4,282.2,0,0,0,0,0,282.2,276.4,286.7,,,,,,,,,,,,,,,,,,,
fbg:NacuPu00,Puka Nacua,WR,LAR,NacuPu00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,311.9,373.4,339.8,341.5,0,0,0,0,0,341.5,311.9,373.4,,,,,,,,,,,,,,,,,,,
fbg:BoweBr00,Brock Bowers,TE,LV,BoweBr00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,271.4,241.3,243.6,252.2,0,0,0,0,0,252.2,241.3,271.4,,,,,,,,,,,,,,,,,,,
fbg:AchaDe00,De'Von Achane,RB,MIA,AchaDe00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,262.1,317.6,292.1,290.4,0,0,0,0,0,290.4,262.1,317.6,,,,,,,,,,,,,,,,,,,
fbg:SmitJa02,Jaxon Smith-Njigba,WR,SEA,SmitJa02,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,285.6,340.4,324.4,316.6,0,0,0,0,0,316.6,285.6,340.4,,,,,,,,,,,,,,,,,,,
