playerId,name,position,team,sourceRank,primarySource,primaryProjection,scheduleProjection,scheduleVbdDelta,fbg,legacyFbgWeekly,cbs,fantasyPros,pff,sourceMedian,sourceRange,candidateModel,vbd,expectedVbd,vbdDelta,cbsVbd,fantasyProsVbd,pffVbd,intrinsic,market,maxBid,packMarket,packMaxBid,monotoneRoomCurveMarket,fbgValue,fbgGlobalRank,mflAav,fbgLatestTeam,fbgNegativeWeeks,marketPositionRank,fbgPositionRank,mflPositionRank,flags
fbg:GibbJa00,Jahmyr Gibbs,RB,DET,1,Thunder Bowl Consensus,361.5,358.5,-3.0,342.0,,386.4,372.7,345.5,359.1,44.4,349.7,169.2,169.2,0.0,200.6,176.4,159.5,57,36,40,40,40,40,50,1,20.45,,,1,1,10,
fbg:RobiBi01,Bijan Robinson,RB,ATL,2,Thunder Bowl Consensus,353.7,354.6,0.9,334.8,265.9,371.4,369.9,339.1,354.5,36.6,366.9,165.3,165.3,0.0,185.6,173.6,153.1,55,34,38,38,38,38,45,2,23.37,ATL,1,2,2,7,FBG_NEGATIVE_WEEK
fbg:ChasJa00,Ja'Marr Chase,WR,CIN,1,Thunder Bowl Consensus,334.1,334.1,0.0,334.0,,342.6,335.7,324.1,334.9,18.5,301.8,120.3,120.3,0.0,135.4,125.6,105.9,40,31,32,32,32,32,30,10,29.06,,,2,1,4,
fbg:McCaCh00,Christian McCaffrey,RB,SF,3,Thunder Bowl Consensus,321.0,320.6,-0.4,325.4,260.9,296.9,334.8,326.6,326.0,37.9,238.7,131.3,131.3,0.0,111.1,138.5,140.6,44,31,37,37,37,37,43,3,30.85,SF,0,3,3,3,CANDIDATE_MODEL_OUTLIER
fbg:TaylJo02,Jonathan Taylor,RB,IND,4,Thunder Bowl Consensus,307.0,306.3,-0.7,278.7,245.8,317.1,310.5,322.2,313.8,43.5,262.0,117.0,117.0,0.0,131.3,114.2,136.2,39,30,36,36,36,36,38,5,21.38,IND,0,4,4,8,
fbg:JeanAs00,Ashton Jeanty,RB,LV,5,Thunder Bowl Consensus,276.7,275.8,-0.9,282.3,228.8,269.2,276.3,278.7,277.5,13.1,277.1,86.5,86.5,0.0,83.4,80.0,92.7,30,25,31,26,26,31,32,7,19.16,LV,0,6,6,13,LEGACY_CURVE_IDENTITY_REPAIR
fbg:NacuPu00,Puka Nacua,WR,LAR,2,Thunder Bowl Consensus,341.3,342.6,1.3,311.4,,374.6,355.5,324.4,339.9,63.2,295.7,128.8,128.8,0.0,167.4,145.4,106.2,43,34,38,38,38,38,25,13,18.10,,,1,2,11,PROJECTION_SOURCE_RANGE_50
fbg:BoweBr00,Brock Bowers,TE,LV,1,Thunder Bowl Consensus,248.7,245.7,-3.0,270.9,,245.7,243.9,233.9,244.8,37.0,202.0,74.1,74.1,0.0,66.0,76.7,58.2,26,17,19,19,19,19,16,27,13.66,,,2,1,3,
fbg:AchaDe00,De'Von Achane,RB,MIA,6,Thunder Bowl Consensus,287.0,287.3,0.3,261.8,207.8,302.1,292.4,292.3,292.4,40.3,255.5,98.0,98.0,0.0,116.3,96.1,106.3,33,27,34,34,34,34,25,14,12.14,MIA,0,5,10,21,MARKET_RANK_VS_MFL_12
fbg:SmitJa02,Jaxon Smith-Njigba,WR,SEA,3,Thunder Bowl Consensus,317.7,318.5,0.8,285.3,,344.1,324.5,317.6,321.1,58.8,321.1,104.7,104.7,0.0,136.9,114.4,99.4,35,29,28,28,28,28,21,19,15.59,,,3,3,13,PROJECTION_SOURCE_RANGE_50
